,KEN1110,KEN1120,KEN1130,KEN1210,KEN1220,KEN1410,KEN1420,KEN2110,KEN2120,KEN2130,KEN2220,KEN2230,KEN2240,KEN2410,KEN2420,KEN2430,KEN2510,KEN2520,KEN2530,KEN2600,
41754,9.0,9.0,-1.0,7.0,8.0,-1.0,8.0,7.0,6.0,10.0,10.0,7.0,6.0,8.0,8.0,6.0,6.0,7.0,6.0,8.0,
4339,9.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,
43421,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
43600,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,7.0,5.0,8.0,7.0,6.0,9.0,6.0,7.0,8.0,8.0,6.0,-1.0,
43782,4.0,2.0,7.0,-1.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
44159,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,4.0,-1.0,5.0,2.0,-1.0,-1.0,-1.0,5.0,8.0,3.0,-1.0,7.0,
44332,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,8.0,6.0,7.0,6.0,-1.0,7.0,6.0,6.0,10.0,8.0,6.0,8.0,
44351,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,5.0,-1.0,-1.0,-1.0,-1.0,7.0,3.0,7.0,-1.0,-1.0,-1.0,7.0,
44654,6.0,4.0,5.0,4.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
44745,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,6.0,6.0,8.0,7.0,6.0,8.0,8.0,7.0,8.0,7.0,8.0,-1.0,
4486,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,6.0,3.0,7.0,7.0,-1.0,8.0,9.0,-1.0,7.0,6.0,-1.0,6.5,
45044,7.0,7.0,8.0,4.0,6.0,6.0,5.0,8.0,5.0,3.0,4.0,4.0,1.0,8.0,2.0,-1.0,-1.0,-1.0,-1.0,6.0,
45220,8.0,7.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
45938,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,6.0,-1.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,
46019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
